finalID,Name,CountOffinalID,Synonym,RequestAddition,ManualLink,Notes
Cultus decisus,Cultus decisus,1,0,0,,
Cura,Cura,1,0,0,,
Cura foremanii,Cura foremanii,1,0,0,,
Curculionidae,Curculionidae,1,0,0,,
Cyathura polita,Cyathura polita,1,0,0,,
Cyclopidae,Cyclopidae,1,0,0,,
Cyclopoida,Cyclopoida,1,0,0,,
Cymbiodyta ,Cymbiodyta,1,0,0,,
Cyrnellus fraternus,Cyrnellus fraternus,1,0,0,,
Dannella simplex,Dannella simplex,1,1,0,1,Timpanoga simplex- Updated on master taxa list
Daphniidae,Daphniidae,1,0,0,,
Dasyhelea,Dasyhelea,1,0,0,,
Decapoda,Decapoda,1,0,0,,
Demicryptochironomus,Demicryptochironomus,1,0,0,,
Dentatella ,Dentatella,1,0,0,,
Dero,Dero,1,0,0,,
Desserobdella phalera,Desserobdella phalera,1,0,0,,
Diamesa,Diamesa,1,0,0,,
Diamesa Type A,Diamesa,1,0,0,1,
Diamesinae,Diamesinae,1,0,0,,
Dibusa angata,Dibusa angata,1,0,0,,
Dicranota,Dicranota,1,0,0,,
Dicrotendipes,Dicrotendipes,1,0,0,,
Dicrotendipes fumidus,Dicrotendipes fumidus,1,0,0,,
Dicrotendipes modestus,Dicrotendipes modestus,1,0,0,,
Dicrotendipes neomodestus,Dicrotendipes neomodestus,1,0,0,,
Dicrotendipes nervosus/simpsoni/lucifer,Dicrotendipes,1,0,0,1,
Dicrotendipes simpsoni,Dicrotendipes simpsoni,1,0,0,,
Dictya pictipes,Dictya pictipes,1,0,1,1,Valid name in ITIS: https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=144807#null
Dicyrtomidae,Dicyrtomidae,1,0,1,1,Valid name in ITIS: https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=723406#null
Didymops transversa,Didymops transversa,1,0,0,,
Dineutus,Dineutus,1,0,0,,
Diphetor hageni,Diphetor hageni,1,0,0,,
Diplectrona,Diplectrona,1,0,0,,
Diplectrona metaqui,Diplectrona metaqui,1,0,0,,
Diplectrona modesta,Diplectrona modesta,1,0,0,,
Diplocladius,Diplocladius,1,0,0,,
Diplocladius cultriger,Diplocladius cultriger,1,0,0,,
Diptera,Diptera,1,0,0,,
Discus,Discus,1,0,1,1,Valid name in ITIS: https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=77395#null
Dixa,Dixa,1,0,0,,
Dixella,Dixella,1,0,0,,
Dixidae,Dixidae,1,0,0,,
Djalmabatista,Djalmabatista,1,0,0,,
Djalmabatista pulcher,Djalmabatista pulcher,1,0,0,,
Dolichopodidae,Dolichopodidae,1,0,0,,
Dolophilodes,Dolophilodes,1,0,0,,
Dolophilodes distinctus,Dolophilodes distinctus,1,0,0,,
Doncricotopus,Doncricotopus,1,0,0,,
Dreissena polymorpha,Dreissena polymorpha,1,0,0,,
Dromogomphus,Dromogomphus,1,0,0,,
Dromogomphus spinosus,Dromogomphus spinosus,1,0,0,,
Drunella,Drunella,1,0,0,,
Drunella cornuta,Drunella cornuta,1,0,0,,
Drunella lata,Drunella lata,1,0,0,,
Drunella tuberculata,Drunella tuberculata,1,0,0,,
Drunella walkeri,Drunella walkeri,1,0,0,,
Dryopidae,Dryopidae,1,0,0,,
Dubiraphia,Dubiraphia,1,0,0,,
Dubiraphia bivittata,Dubiraphia bivittata,1,0,0,,
Dubiraphia minima,Dubiraphia minima,1,0,0,,
Dubiraphia quadrinotata,Dubiraphia quadrinotata,1,0,0,,
Dubiraphia vittata,Dubiraphia vittata,1,0,0,,
Dytiscidae,Dytiscidae,1,0,0,,
Eccoptura xanthenes,Eccoptura xanthenes,1,0,0,,
Eclipidrilus,Eclipidrilus,1,0,0,,
Eclipidrilus lacustris,Eclipidrilus lacustris,1,0,0,,
Ectemnia,Ectemnia,1,0,0,,
Ectopria,Ectopria,1,0,0,,
Ectopria nervosa,Ectopria nervosa,1,0,0,,
Elimia,Elimia,1,0,0,,
Elimia virginica,Elimia virginica,1,0,0,,
Elliptio ,Elliptio,1,0,0,,
Elliptio complanata,Elliptio complanata,1,0,0,,
Elmidae,Elmidae,1,0,0,,
Elophila,Elophila,1,0,0,,
Empididae,Empididae,1,0,0,,
Empis/Hilara/Rhamphomyia,Empidinae,1,0,0,1,
Enallagma,Enallagma,1,0,0,,
Enchytraeidae,Enchytraeidae,1,0,0,,
Endochironomus,Endochironomus,1,0,0,,
Endochironomus nigricans,Endochironomus nigricans,1,0,0,,
Endochironomus subtendens,Endochironomus subtendens,1,0,0,,
Entomobryidae,Entomobryidae,1,0,0,,
Epeorus,Epeorus,1,0,0,,
Epeorus vitreus,Epeorus vitreus,1,0,0,,
Epeorus vitreus group,Epeorus vitreus group,1,0,0,,
Ephemera,Ephemera (Ephemeridae),1,0,0,1,
Ephemera simulans,Ephemera simulans,1,0,0,,
Ephemerella,Ephemerella,1,0,0,,
Ephemerella aurivillii,Ephemerella aurivillii,1,0,0,,
Ephemerella dorothea,Ephemerella dorothea,1,0,0,,
Ephemerella invaria,Ephemerella invaria,1,0,0,,
Ephemerella needhami,Ephemerella needhami,1,0,0,,
Ephemerella subvaria,Ephemerella subvaria,1,0,0,,
Ephemerella/Serratella,Ephemerella/Serratella,1,0,0,,
Ephemerellidae,Ephemerellidae,1,0,0,,
Ephemeridae,Ephemeridae,1,0,0,,
Ephemeroptera,Ephemeroptera,1,0,0,,
Ephoron leukon,Ephoron leukon,1,0,0,,
Ephydridae,Ephydridae,1,0,0,,
Epitheca,Epitheca,1,0,0,,
Epitheca princeps,Epitheca princeps,1,0,0,,
Epoicocladius,Epoicocladius,1,0,0,,
Erioptera ,Erioptera,1,0,0,,
Erpobdella,Erpobdella,1,0,0,,
Erpobdella punctata punctata,Erpobdella punctata punctata,1,0,0,,
Erpobdellidae,Erpobdellidae,1,0,0,,
Erythemis simplicicollis,Erythemis simplicicollis,1,0,0,,
Eukiefferiella,Eukiefferiella,1,0,0,,
Eukiefferiella brehmi group,Eukiefferiella brehmi group,1,0,0,,
Eukiefferiella brevicalcar group,Eukiefferiella brevicalcar group,1,0,0,,
Eukiefferiella claripennis group,Eukiefferiella claripennis group,1,0,0,,
Eukiefferiella coerulescens group,Eukiefferiella coerulescens group,1,0,0,,
Eukiefferiella devonica group,Eukiefferiella devonica group,1,0,0,,
Eukiefferiella gracei group,Eukiefferiella gracei group,1,0,0,,
Eukiefferiella potthastia,Eukiefferiella potthastia,1,0,0,,
Eukiefferiella potthastia group,Eukiefferiella,1,0,0,1,
Eukiefferiella pseudomontana,Eukiefferiella pseudomontana,1,0,0,,
Eukiefferiella pseudomontana group,Eukiefferiella pseudomontana group,1,0,0,,
Eukiefferiella tirolensis,Eukiefferiella tirolensis,1,0,0,,
Eurylophella,Eurylophella,1,0,0,,
Eurylophella aestiva,Eurylophella aestiva,1,0,0,,
Eurylophella funeralis,Eurylophella funeralis,1,0,0,,
Eurylophella lutulenta,Eurylophella lutulenta,1,0,0,,
Eurylophella minimella,Eurylophella minimella,1,0,0,,
Eurylophella temporalis,Eurylophella temporalis,1,0,0,,
Eurylophella verisimilis,Eurylophella verisimilis,1,0,0,,
Feltria ,Feltria,1,0,0,,
Ferrissia,Ferrissia,1,0,0,,
Ferrissia fragilis,Ferrissia fragilis,1,0,0,,
Ferrissia parallela,Ferrissia parallela,1,0,0,,
Ferrissia rivularis,Ferrissia rivularis,1,0,0,,
Ferrissia walkeri,Ferrissia walkeri,1,0,0,,
Fossaria,Fossaria,1,0,0,,
Fossaria parva,Fossaria parva,1,0,0,,
Fossaria/Stagnicola,Fossaria/Stagnicola,1,0,0,,
Frenesia difficilis,Frenesia difficilis,1,0,0,,
Galba,Galba,1,0,0,,
Gammaridae,Gammaridae,1,0,0,,
Gammarus,Gammarus,1,0,0,,
Gammarus fasciatus,Gammarus fasciatus,1,0,0,,
Gammarus lacustris,Gammarus lacustris,1,0,0,,
Gammarus minus,Gammarus minus,1,0,0,,
Gammarus pseudolimnaeus,Gammarus pseudolimnaeus,1,0,0,,
Gastropoda,Gastropoda,1,0,0,,
Glossiphonia complanata,Glossiphonia complanata,1,0,0,,
Glossiphoniidae,Glossiphoniidae,1,0,0,,
Glossosoma,Glossosoma,1,0,0,,
Glossosoma intermedium,Glossosoma intermedium,1,0,0,,
Glossosoma nigrior,Glossosoma nigrior,1,0,0,,
Glossosomatidae,Glossosomatidae,1,0,0,,
Glyptotendipes,Glyptotendipes,1,0,0,,
Glyptotendipes lobiferus,Glyptotendipes lobiferus,1,0,0,,
Goeldichironomus,Goeldichironomus,1,0,0,,
Goera,Goera,1,0,0,,
Goera calcarata,Goera calcarata,1,0,0,,
Goeridae,Goeridae,1,0,0,,
Gomphidae,Gomphidae,1,0,0,,
Gomphus,Gomphus,1,0,0,,
Gomphus (Hylogomphus),Gomphus (Hylogomphus),1,0,0,,
Gomphus descriptus,Gomphus descriptus,1,0,0,,
Gomphus spicatus,Gomphus spicatus,1,0,0,,
Gonomyia,Gonomyia,1,0,0,,
Gordius,Gordius,1,0,0,,
Gyraulus,Gyraulus,1,0,0,,
Gyraulus circumstriatus,Gyraulus circumstriatus,1,0,0,,
Gyraulus parvus,Gyraulus parvus,1,0,0,,
Gyrinidae,Gyrinidae,1,0,0,,
Gyrinus,Gyrinus,1,0,0,,
Habrophlebia vibrans,Habrophlebia vibrans,1,0,0,,
Habrophlebiodes,Habrophlebiodes,1,0,0,,
Hagenella canadensis,Hagenella canadensis,1,0,0,,
Hagenius brevistylus,Hagenius brevistylus,1,0,0,,
Haliplidae,Haliplidae,1,0,0,,
Haliplus ,Haliplus,1,0,0,,
Hansonoperla,Hansonoperla,1,0,0,,
Haploperla brevis,Haploperla brevis,1,0,0,,
Heleniella,Heleniella,1,0,0,,
Helichus,Helichus,1,0,0,,
Helichus basalis,Helichus basalis,1,0,0,,
Helichus fastigiatus,Helichus fastigiatus,1,0,0,,
Helichus lithophilus,Helichus lithophilus,1,0,0,,
Helicopsyche borealis,Helicopsyche borealis,1,0,0,,
Helicopsychidae,Helicopsychidae,1,0,0,,
Helisoma anceps,Helisoma anceps,1,0,0,,
Helobdella,Helobdella,1,0,0,,
Helobdella stagnalis,Helobdella stagnalis,1,0,0,,
Helocordulia selysii,Helocordulia selysii,1,0,0,,
Helopicus subvarians,Helopicus subvarians,1,0,0,,
Hemerodromia,Hemerodromia,1,0,0,,
Hemiptera,Hemiptera,1,0,0,,
Heptagenia,Heptagenia,1,0,0,,
Heptageniidae,Heptageniidae,1,0,0,,
Hesperoconopa,Hesperoconopa,1,0,0,,
Hesperocorixa,Hesperocorixa,1,0,0,,
Hesperocorixa vulgaris,Hesperocorixa vulgaris,1,0,0,,
Hetaerina,Hetaerina,1,0,0,,
Heterocloeon ,Heterocloeon,1,0,0,,
Heterocloeon amplum,Heterocloeon amplum,1,1,0,1,Acentrella ampla - Updated on master taxa list
Heterocloeon curiosum,Heterocloeon curiosum,1,0,0,,
Heterocloeon frivolum,Heterocloeon frivolum,1,0,0,,
Heteroplectron americanum,Heteroplectron americanum,1,0,0,,
Heterotrissocladius,Heterotrissocladius,1,0,0,,
Hexagenia,Hexagenia,1,0,0,,
Hexagenia limbata,Hexagenia limbata,1,0,0,,
Hexatoma,Hexatoma,1,0,0,,
Hirudinea,Hirudinea (Hirudinea),1,0,0,1,
Hirudinea species A,Hirudinea (Hirudinea),1,0,0,1,
Hirudinea species B,Hirudinea (Hirudinea),1,0,0,1,
Hirudinida,Hirudinida,1,0,0,,
Hyalella,Hyalella,1,0,0,,
Hyalella azteca,Hyalella azteca,1,0,0,,
Hybomitra ,Hybomitra,1,0,0,,
Hydatophylax,Hydatophylax,1,0,0,,
Hydatophylax argus/victor,Hydatophylax,1,0,0,1,
Hydrobaenus,Hydrobaenus,1,0,0,,
Hydrobiidae,Hydrobiidae,1,0,0,,
Hydrobius,Hydrobius,1,0,0,,
Hydrochus,Hydrochus,1,0,0,,
Hydrophilidae,Hydrophilidae,1,0,0,,
Hydroporinae,Hydroporinae,1,0,0,,
Hydroporus,Hydroporus,1,0,0,,
Hydropsyche,Hydropsyche,1,0,0,,
Hydropsyche (frisoni/venularis),Hydropsyche,1,0,0,1,
Hydropsyche betteni,Hydropsyche betteni,1,0,0,,
Hydropsyche phalerata,Hydropsyche phalerata,1,0,0,,
Hydropsyche placoda,Hydropsyche placoda,1,0,0,,
Hydropsyche scalaris,Hydropsyche scalaris,1,0,0,,
Hydropsychidae,Hydropsychidae,1,0,0,,
Hydroptila,Hydroptila,1,0,0,,
Hydroptilidae,Hydroptilidae,1,0,0,,
Hydrozoa,Hydrozoa,1,0,0,,
Hygrobates,Hygrobates,1,0,0,,
Hygrobatidae,Hygrobatidae,1,0,0,,
Hylogomphus adelphus,Hylogomphus adelphus,1,0,0,,
Ironoquia,Ironoquia,1,0,0,,
Ischnura,Ischnura,1,0,0,,
Isogenoides,Isogenoides,1,0,0,,
Isogenoides hansoni,Isogenoides hansoni,1,0,0,,
Isogenoides olivaceus,Isogenoides olivaceus,1,0,0,,
Isonychia,Isonychia,1,0,0,,
Isonychiidae,Isonychiidae,1,0,0,,
Isoperla,Isoperla,1,0,0,,
Isoperla bilineata,Isoperla bilineata,1,0,0,,
Isoperla dicala,Isoperla dicala,1,0,0,,
Isoperla gibbsae/transmarina,Isoperla,1,0,0,1,
Isoperla gibbsae/transmarina/richardsoni,Isoperla,1,0,0,1,
Isoperla marlynia,Isoperla marlynia,1,0,0,,
Isoperla namata,Isoperla namata,1,0,0,,
Isoperla similis,Isoperla similis,1,0,0,,
Isopoda,Isopoda,1,0,0,,
Isotomurus,Isotomurus,1,0,0,,
Iswaeon anoka,Iswaeon anoka,1,0,0,,
Kiefferulus,Kiefferulus,1,0,0,,
Krenosmittia,Krenosmittia,1,0,0,,
