"staSeq","CTDEEP.LabID","DATE_COL","RBV_most_wanted_count","locationName","locationDescription","locationType","ylat","xlong","sourceMapScale","horizCollectMethod","horizRefDatum","stateCd","munName","subBasin","adbSegID","hydroID","stationsCommentTxt","createDate","createUser","lastUpdateDate","lastUpdateUser"
14298,"RBV-2025-014",2025-10-20,1,"Mill River","upstream Lake Mohegan","River/Stream",41.208,-73.257,24000,"Interpolation-Map","NAD83","CT","FAIRFIELD",7108,"CT7108-00_02a","102001653","Initial Site Number=184 or alias of =m2, 512.01,511.01//site comments:access to station via town open space road, also monitored by town of fairfield as part of tmdl, SEARCH was fairfield HS and fairfield prep",1999-03-02,"Unknown",2021-10-05 14:34:45,"BeckerM"
14396,"RBV-2025-029",2025-09-20,6,"Pine Brook","at old bridge Pine Brook Road","River/Stream",41.5079,-72.4952,24000,"GPS-Unspecified","NAD83","CT","HADDAM",4709,"CT4709-00_01","106001841","Initial Site Number=208 or alias of =//site comments:station is at end of dirt road",1999-03-02,"Unknown",2021-10-05 14:34:45,"BeckerM"
14406,"RBV-2025-060",2025-10-16,3,"Pootatuck River","downstream Wasserman Way on Game Club Property (Mile Hill Rd)","River/Stream",41.4064,-73.272,24000,"Interpolation-Map","NAD83","CT","NEWTOWN",6020,"CT6020-00_02","103016444","Initial Site Number=PT1 or alias of =//site comments:WPCF upgrade evaluation, SEARCH; RBV 2010-2012 (CVTU)",1999-03-02,"Unknown",2021-10-05 14:34:45,"BeckerM"
14445,"RBV-2025-015",2025-11-13,5,"Saugatuck River","at DS end of Fly Fishing Only Area (1 Ford Rd)","River/Stream",41.1693,-73.367,24000,"Interpolation-Map","NAD83","CT","WESTPORT",7200,"CT7200-00_01","102001263","Initial Site Number=SG1 or alias of =1581.01, R5, 48-001//site comments:Rotating chem only, RBV, at a pull off with signage for TMA, at base of Island Staples HS, just after Ford Road turns south and becomes North Clinton Avenue",1999-03-02,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
15045,"RBV-2025-027",2025-10-19,3,"Judd Brook","At mouth, upstream Airline Trail crossing (Hebron/Colchester town line)","River/Stream",41.6005,-72.373,24000,"Interpolation-Map","NAD83","CT","HEBRON",4702,"CT4702-00_01","106002553","Initial Site Number=15010 or alias of =//site comments:site sampled with ED Fisheries as a 1 pass all species for their information, Cabin Brook prob mon site done prior in the day; Old description: ""upstream old road crossing""",2003-06-25,"BeaucheneM",2021-11-17 18:20:50,"BeckerM"
15128,"RBV-2025-063",2025-10-30,6,"Kirby Brook","300m upstream confluence with Shepaug River","River/Stream",41.6173,-73.3227,24000,"Interpolation-Map","NAD83","CT","WASHINGTON",6700,"CT6700-17_01","103011915","Initial Site Number=1501.02 or alias of =//site comments:Shepaug Regional; At dirt road crossing",2003-09-22,"BeaucheneM",2021-12-27 17:18:19,"BeckerM"
15180,"RBV-2025-054",2025-11-07,4,"East Branch Eightmile River","off Walden Road","River/Stream",41.4795,-72.2819,24000,"Interpolation-Map","NAD83","CT","SALEM",4802,"CT4802-00_01","106001523","Initial Site Number=26-004 or alias of =//site comments:Eightmile River Association",2003-09-22,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
15205,"RBV-2025-061",2025-09-20,1,"Tankerhoosen River","DS Bolton Road","River/Stream",41.8294,-72.4482,24000,"Interpolation-Map","NAD83","CT","VERNON",4503,"CT4503-00_02","106003441","Initial Site Number=32-001 or alias of =5235//site comments:Hockanum River Watershed Association, fisheries sample number 5235 Friends of Hockanum River Linear Park RBV site 2011, 2012, 2013",2003-09-22,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
15280,"RBV-2025-058",2025-09-17,3,"Pootatuck River","adjacent Tom's Brook Confluence (DS STP outfall)","River/Stream",41.4149,-73.2827,24000,"Interpolation-Map","NAD83","CT","NEWTOWN",6020,"CT6020-00_01","103016207","Initial Site Number= or alias of =//site comments: New RBV site in fall 2005 CVTU, events 2010-2012",2005-10-27,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
15312,"RBV-2025-041",2025-04-25,3,"Beaver Brook","Downstream bridge at 55-123 Beaver Brook Road","River/Stream",41.409952,-72.329059,24000,"Interpolation-Map","NAD83","CT","LYME",4803,"CT4803-00_01","106000947","Initial Site Number=26-005 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study, Willauer property call 860-434-8315 before fish shocking.",2003-12-04,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
15312,"RBV-2025-050",2025-10-24,4,"Beaver Brook","Downstream bridge at 55-123 Beaver Brook Road","River/Stream",41.409952,-72.329059,24000,"Interpolation-Map","NAD83","CT","LYME",4803,"CT4803-00_01","106000947","Initial Site Number=26-005 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study, Willauer property call 860-434-8315 before fish shocking.",2003-12-04,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
15314,"RBV-2025-048",2025-10-17,4,"Eightmile River, Unnamed tributary to (""PV Brook"")","at trail crossing off MacIntosh Road (Pleasant Valley Preserve)","River/Stream",41.4155,-72.3396,24000,"Interpolation-Map","NAD83","CT","LYME",4800,"CT4800-15_01","106000992","Initial Site Number=26-007 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study",2003-12-04,"Unknown",2025-12-15 10:58:22,"BeckerM"
15314,"RBV-2025-045",2025-03-28,1,"Eightmile River, Unnamed tributary to (""PV Brook"")","at trail crossing off MacIntosh Road (Pleasant Valley Preserve)","River/Stream",41.4155,-72.3396,24000,"Interpolation-Map","NAD83","CT","LYME",4800,"CT4800-15_01","106000992","Initial Site Number=26-007 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study",2003-12-04,"Unknown",2025-12-15 10:58:22,"BeckerM"
15375,"RBV-2025-017",2025-10-16,3,"Aspetuck River","Upstream Confluence with Saugatuck River at Lyons Plain Rd","River/Stream",41.1769,-73.3579,24000,"Unknown","NAD83","CT","WESTPORT",7202,"CT7202-00_01","102001415","Initial Site Number=R6 or alias of =AR-1//site comments:Weston/Westport Health District, Site 6 is sampled on the north side of Lyons Plains Road, just north of the Lyons Plains Road and Coleytown Road intersection.  Above confluence with saugatuck river",2003-12-18,"Unknown",2021-10-05 14:34:45,"BeckerM"
15554,"RBV-2025-006",2025-10-27,3,"Morgan Brook","downstream East West Hill Road ADJ to Rte 44","River/Stream",41.9125,-73.0175,24000,"Interpolation-Map","NAD83","CT","BARKHAMSTED",4305,"CT4305-00_02","105001736","Initial Site Number=7-004 or alias of =//site comments:sampled by FRWA as part of RBV fall 2004, very large substrate",2004-09-16,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
16121,"RBV-2025-031",2025-09-06,6,"Flat Brook","at Route 16 (at mouth)","River/Stream",41.5544,-72.4523,24000,"Interpolation-Map","NAD83","CT","EAST HAMPTON",4700,"CT4700-03_01","106002283","Initial Site Number= or alias of =//site comments:At Rte 16",2007-05-16,"BellucciC",2021-10-05 14:34:45,"BeckerM"
16123,"RBV-2025-044",2025-04-25,4,"Muddy Brook","Downstream of Hopyard Road","River/Stream",41.4756,-72.342,24000,"Interpolation-Map","NAD83","CT","EAST HADDAM",4800,"CT4800-06_01","106001530","Initial Site Number= or alias of =//site comments:In Devil's Hopyard SP",2007-05-16,"BellucciC",2021-10-05 14:34:45,"BeckerM"
16333,"RBV-2025-020",2025-09-20,0,"Bullet Hill Brook","Adjacent to Heritage Rd Downstream Old Field Road (""Ewald Park"")","River/Stream",41.4826,-73.2205,24000,"Unknown","NAD83","CT","SOUTHBURY",6800,"CT6800-05_01","103014760","Initial Site Number=CTS06621-0402 or alias of =//site comments: PRWC HOBO monitoring site 2012 (""Ewald Park"" site)",2008-04-11,"BeaucheneM",2021-10-05 14:34:45,"BeckerM"
16370,"RBV-2025-001",2025-09-16,4,"Bunnell Brook","upstream diversion for swimming area at recreation area at vineyard rd and clear brook rd","River/Stream",41.7807,-72.963,24000,"Interpolation-Map","NAD83","CT","BURLINGTON",4311,"CT4311-00_01","105001294","Initial Site Number=20617 or alias of =//site comments:; Probabilistic Monitoring Site CTS06621-0979",2008-07-23,"BeaucheneM",2021-11-17 18:20:50,"BeckerM"
16484,"RBV-2025-038",2025-10-23,5,"Ballymahack Brook","US of old diversion dam at manfrede property","River/Stream",41.7144,-72.1444,24000,"Unknown","NAD83","CT","WINDHAM",3801,"Needs",NA,"Initial Site Number=5132 or alias of =5132//site comments:Stream Survey Site",2009-01-12,"BeaucheneM",2010-03-12,"BeaucheneM"
